"","site","chamber","date","pwsw","temp","cond","salinity","ph","station","ALKA","CL","DOC","LCOND","LPH","NH4","NOX","Salinity","SO4","TDN","TN","trt","mean.salinity","srp.um.l","tdp.um.l","srp.ppb","tdp.ppb"
"142","FW",2,2014-12-18,"PW",24.944,0.5694,0.274,6.586,"FW-P-2",168,48.1,30.1,NA,7.55,0.132,NA,NA,0.1,0.794,NA,"control",0.24,0.007,0.191,0.22,5.92
"143","FW",2,2014-12-18,"SW",18.35,0.53,0.26,NA,"FW-S-2",183,59.6,8.4,NA,7.95,0.038,NA,NA,0.1,0.701,NA,"control",0.26,0.009,0.442,0.28,13.69
"144","FW",2,2014-12-18,"SW",18.35,0.53,0.26,NA,"FW-S-2",183,59.6,8.4,NA,7.95,0.038,NA,NA,0.1,0.701,NA,"control",0.26,0.038,0.36,1.18,11.15
"145","FW",2,2015-01-15,"PW",21.15,0.5996,0.292,6.552,"FW-P-2",177,58.5,26.4,NA,7.59,0.238,NA,NA,0.1,0.732,NA,"control",0.28,0.002,0.273,0.06,8.45
"146","FW",2,2015-01-15,"SW",21.88,0.617,0.3,NA,"FW-S-2",197,74.2,9.9,NA,7.74,0.07,0.015,NA,0.1,0.586,NA,"control",0.3,0.026,0.393,0.81,12.17
"147","FW",2,2015-01-15,"SW",21.88,0.617,0.3,NA,"FW-S-2",197,74.2,9.9,NA,7.74,0.07,0.015,NA,0.1,0.586,NA,"control",0.3,0.108,0.357,3.34,11.06
"148","FW",2,2015-02-12,"PW",25.684,0.6386,0.312,6.66,"FW-P-2",179,78.8,14,NA,7.55,0.074,NA,NA,0.2,0.571,NA,"control",0.31,0.118,0.207,3.65,6.41
"149","FW",2,2015-02-12,"SW",18.42,0.666,0.33,NA,"FW-S-2",201,76.9,9.4,NA,7.89,0.052,0.011,NA,1.5,0.721,NA,"control",0.33,0.061,0.318,1.89,9.85
"150","FW",2,2015-02-12,"SW",18.42,0.666,0.33,NA,"FW-S-2",201,76.9,9.4,NA,7.89,0.052,0.011,NA,1.5,0.721,NA,"control",0.33,0.08,0.418,2.48,12.95
"151","FW",2,2015-03-19,"PW",26.506,0.6506,0.314,6.87,"FW-P-2",202,84.4,15.1,NA,7.29,0.064,NA,NA,0.1,0.529,NA,"control",NA,NA,NA,NA,NA
"152","FW",3,2014-10-15,"PW",31.518,0.5192,0.248,NA,"FW-P-3",116,56.7,39.9,NA,7.13,0.632,0.005,NA,1,1.39,NA,"control",0.2,0.021,0.166,0.65,5.14
"153","FW",3,2014-11-19,"PW",19.664,0.4872,0.236,6.808,"FW-P-3",152,59,10.5,NA,7.28,0.548,NA,NA,0.5,1.04,NA,"control",0.24,0.008,0.172,0.25,5.33
"154","FW",3,2014-11-19,"SW",19.51,0.472,0.23,7.42,"FW-S-3",139,63.7,8.9,NA,7.56,0.045,NA,NA,0.1,0.593,NA,"control",0.23,0.005,0.411,0.15,12.73
"155","FW",3,2014-12-18,"PW",26.058,0.5172,0.248,6.672,"FW-P-3",172,55.5,26.8,NA,7.53,0.495,NA,NA,0.1,1.15,NA,"control",0.25,0.055,0.281,1.7,8.7
"156","FW",3,2014-12-18,"SW",18.5,0.53,0.26,NA,"FW-S-3",180,57.5,12.1,NA,8.03,0.123,NA,NA,0.1,0.738,NA,"control",0.26,0.045,0.387,1.39,11.99
"157","FW",3,2015-01-15,"PW",21.706,0.592,0.286,6.504,"FW-P-3",194,63.8,30.1,NA,7.74,0.598,NA,NA,0.1,1.23,NA,"control",0.3,0.01,0.385,0.31,11.92
"158","FW",3,2015-01-15,"SW",21.18,0.61,0.3,NA,"FW-S-3",195,73.2,11.9,NA,7.87,0.063,0.01,NA,0.1,0.676,NA,"control",0.3,0.043,0.392,1.33,12.14
"159","FW",3,2015-02-12,"PW",24.232,0.6586,0.32,6.76,"FW-P-3",192,90.2,12.5,NA,7.78,0.361,NA,NA,0.1,0.9,NA,"control",0.33,0.118,0.298,3.65,9.23
"160","FW",3,2015-02-12,"SW",18.82,0.634,0.31,NA,"FW-S-3",201,79.1,10,NA,7.95,0.064,0.021,NA,1.1,0.895,NA,"control",0.31,0.083,0.532,2.57,16.48
"161","FW",3,2015-03-19,"PW",29.496,0.6552,0.316,6.782,"FW-P-3",206,81.9,14.4,NA,7.18,0.499,NA,NA,0.8,1.01,NA,"control",NA,NA,NA,NA,NA
"162","FW",6,2014-10-15,"PW",30.928,0.4242,0.202,NA,"FW-P-6",146,43.9,48.1,NA,7.12,0.514,0.005,NA,1,1.22,NA,"control",0.2,0.054,0.308,1.67,9.54
"163","FW",6,2014-11-19,"PW",18.4275,0.47475,0.23,6.655,"FW-P-6",178,44.1,14.6,NA,7.48,0.393,NA,NA,0.1,0.905,NA,"control",0.23,0.008,0.197,0.25,6.1
"164","FW",6,2014-11-19,"SW",18.63,0.464,0.22,7.37,"FW-S-6",136,65,9.2,NA,7.69,0.057,NA,NA,0.3,0.63,NA,"control",0.22,0.004,0.326,0.12,10.1
"165","FW",6,2014-12-18,"PW",25.564,0.5278,0.254,6.672,"FW-P-6",172,52,12.6,NA,7.38,0.482,NA,NA,0.1,0.981,NA,"control",0.26,0,0.228,0,7.06
"166","FW",6,2014-12-18,"SW",18.35,0.53,0.26,NA,"FW-S-6",182,59.6,7.8,NA,8.04,0.132,NA,NA,0.1,0.779,NA,"control",0.26,0.03,0.415,0.93,12.85
"167","FW",6,2015-01-15,"PW",21.84,0.5872,0.286,6.552,"FW-P-6",192,56.3,14.6,NA,7.53,0.359,NA,NA,0.1,0.807,NA,"control",0.29,0,0.215,0,6.66
"168","FW",6,2015-01-15,"SW",20.9,0.614,0.3,NA,"FW-S-6",198,73.3,9.3,NA,7.76,0.066,0.009,NA,0.1,0.665,NA,"control",0.3,0.022,0.391,0.68,12.11
"169","FW",6,2015-02-12,"PW",26.732,0.648,0.3,6.744,"FW-P-6",191,71.2,18.6,NA,7.77,0.598,NA,NA,0.2,1.17,NA,"control",0.31,0.259,0.298,8.02,9.23
"170","FW",6,2015-02-12,"SW",18.5,0.631,0.31,NA,"FW-S-6",198,75.1,12,NA,8.02,0.191,NA,NA,2.1,0.964,NA,"control",0.31,0.053,0.481,1.64,14.9
"171","FW",6,2015-03-19,"PW",29.51,0.67875,0.3275,6.81,"FW-P-6",207,85.4,14.8,NA,7.52,0.289,NA,NA,0.4,0.781,NA,"control",NA,NA,NA,NA,NA
"172","FW",8,2014-10-15,"PW",28.51625,0.45875,0.22,NA,"FW-P-8",93,29.3,93.7,NA,6.76,0.824,0.006,NA,1,1.71,NA,"control",0.21,0.094,0.584,2.91,18.09
"173","FW",8,2014-11-19,"PW",18.384,0.494,0.24,6.788,"FW-P-8",180,42.6,12.2,NA,7.61,0.92,NA,NA,0.1,1.42,NA,"control",0.25,0.012,0.456,0.37,14.12
"174","FW",8,2014-11-19,"SW",18.75,0.464,0.22,7.14,"FW-S-8",142,63.5,8.3,NA,7.77,0.057,NA,NA,0.2,0.637,NA,"control",0.22,0.003,0.386,0.09,11.95
"175","FW",8,2014-12-18,"PW",25.094,0.5296,0.256,6.536,"FW-P-8",182,54.5,17.6,NA,7.5,0.878,NA,NA,0.1,1.41,NA,"control",0.26,0.028,0.242,0.87,7.49
"176","FW",8,2014-12-18,"SW",19.03,0.53,0.26,NA,"FW-S-8",178,59.4,7.9,NA,8,0.143,NA,NA,0.1,0.762,NA,"control",0.26,0.027,0.376,0.84,11.64
"177","FW",8,2015-01-15,"PW",21.448,0.5788,0.282,6.7,"FW-P-8",210,56.4,13.5,NA,7.75,0.766,NA,NA,0.1,1.26,NA,"control",0.3,0.04,0.206,1.24,6.38
"178","FW",8,2015-01-15,"SW",20.74,0.619,0.3,NA,"FW-S-8",196,74.4,10.2,NA,7.74,0.094,0.008,NA,0.1,0.678,NA,"control",0.3,0.041,0.383,1.27,11.86
"179","FW",8,2015-02-12,"PW",24.468,0.6538,0.318,6.982,"FW-P-8",199,71.2,10,NA,7.71,0.775,NA,NA,0.1,1.28,NA,"control",0.33,0.083,0.224,2.57,6.94
"180","FW",8,2015-02-12,"SW",18.68,0.656,0.32,NA,"FW-S-8",205,84.7,10.6,NA,8.05,0.095,NA,NA,0.6,0.879,NA,"control",0.32,0.035,0.434,1.08,13.44
"181","FW",8,2015-03-19,"PW",28.0725,0.68625,0.33,6.8125,"FW-P-8",213,81.3,14.6,NA,7.45,0.607,NA,NA,0.6,1.09,NA,"control",NA,NA,NA,NA,NA
"182","FW",9,2014-10-15,"PW",28.71,0.4206,0.202,NA,"FW-P-9",109,43.9,39,NA,6.84,0.212,0.005,NA,1,0.8,NA,"control",0.2,0.032,0.228,0.99,7.06
"183","FW",9,2014-11-19,"PW",19.486,0.4864,0.236,6.768,"FW-P-9",168,46.6,15.6,NA,7.37,0.227,NA,NA,0.2,0.686,NA,"control",0.24,0.011,0.209,0.34,6.47
"184","FW",9,2014-11-19,"SW",18.72,0.47,0.23,7.23,"FW-S-9",145,54.2,9.7,NA,7.84,0.044,NA,NA,0.1,0.621,NA,"control",0.23,0.001,0.56,0.03,17.34
"185","FW",9,2014-12-18,"PW",26.47,0.5368,0.26,6.516,"FW-P-9",180,52.9,22.6,NA,7.71,0.123,NA,NA,0.1,0.593,NA,"control",0.26,0.043,0.279,1.33,8.64
"186","FW",9,2014-12-18,"SW",18.73,0.54,0.26,NA,"FW-S-9",182,59.2,8.8,NA,7.93,0.119,NA,NA,0.1,0.721,NA,"control",0.26,0.023,0.326,0.71,10.1
"187","FW",9,2015-01-15,"PW",21.558,0.6122,0.3,6.638,"FW-P-9",211,54.3,13,NA,7.61,0.1,NA,NA,0.1,0.528,NA,"control",0.3,0.01,0.112,0.31,3.47
"188","FW",9,2015-01-15,"SW",21.66,0.619,0.3,NA,"FW-S-9",198,74.7,10,NA,7.75,0.109,0.02,NA,0.1,0.708,NA,"control",0.3,0.019,0.328,0.59,10.16
"189","FW",9,2015-02-12,"PW",25.662,0.7018,0.338,6.9,"FW-P-9",217,78.7,10.9,NA,7.69,0.068,NA,NA,0.2,0.53,NA,"control",0.34,0.069,0.184,2.14,5.7
"190","FW",9,2015-02-12,"SW",18.49,0.661,0.32,NA,"FW-S-9",208,82.6,11.8,NA,7.71,0.172,NA,NA,0.2,0.929,NA,"control",0.32,0.09,0.432,2.79,13.38
"191","FW",9,2015-03-19,"PW",27.8375,0.69,0.3325,6.86,"FW-P-9",225,78.3,14.5,NA,7.2,0.052,NA,NA,0.2,0.515,NA,"control",NA,NA,NA,NA,NA
"192","FW",10,2014-10-15,"PW",28.566,0.4134,0.196,NA,"FW-P-10",147,25.3,47.4,NA,7.26,0.291,0.005,NA,1,0.97,NA,"treatment",0.2,0.02,0.302,0.62,9.35
"193","FW",10,2014-11-19,"PW",19.022,0.4862,0.246,6.994,"FW-P-10",175,47.3,17.5,NA,7.55,0.227,NA,NA,0.1,0.769,NA,"treatment",0.24,0.006,0.321,0.19,9.94
"194","FW",10,2014-11-19,"SW",18.6,0.479,0.23,7.26,"FW-S-10",139,60.5,11.9,NA,7.48,0.089,NA,NA,2.1,0.675,NA,"treatment",0.23,0.002,0.381,0.06,11.8
"195","FW",10,2014-12-18,"PW",25.516,0.5314,0.256,6.702,"FW-P-10",168,52.9,23.3,NA,7.52,0.219,NA,NA,0.1,0.806,NA,"treatment",0.25,0.024,0.233,0.74,7.22
"196","FW",10,2014-12-18,"SW",18.47,0.54,0.26,NA,"FW-S-10",184,59.4,9.2,NA,8.11,0.158,NA,NA,0.1,0.767,NA,"treatment",0.26,0.029,0.558,0.9,17.28
"197","FW",10,2015-01-15,"PW",21.588,0.6026,0.292,6.718,"FW-P-10",187,60.2,25.3,NA,7.34,0.185,NA,NA,0.1,0.679,NA,"treatment",0.28,0.01,0.204,0.31,6.32
"198","FW",10,2015-01-15,"SW",21.41,0.616,0.3,NA,"FW-S-10",199,73,10.5,NA,7.78,0.093,0.016,NA,0.1,0.649,NA,"treatment",0.3,0.027,0.317,0.84,9.82
"199","FW",10,2015-02-12,"PW",23.774,0.6686,0.328,6.834,"FW-P-10",210,71.6,18.8,NA,7.58,0.159,NA,NA,0.1,0.64,NA,"treatment",0.32,0.053,0.212,1.64,6.57
"200","FW",10,2015-02-12,"SW",18.14,0.635,0.31,NA,"FW-S-10",202,76.8,10.3,NA,7.8,0.115,NA,NA,1.7,0.864,NA,"treatment",0.31,0.049,0.415,1.52,12.85
"201","FW",10,2015-03-19,"PW",31.87,0.7044,0.338,6.818,"FW-P-10",207,77.6,15.7,NA,7.69,0.264,NA,NA,0.7,0.838,NA,"treatment",NA,NA,NA,NA,NA
"202","FW",11,2014-10-15,"PW",31.3825,3.12225,1.65125,NA,"FW-P-11",71,1213,48,NA,6.43,1.113,0.005,NA,253,1.66,NA,"treatment",2.39,0.007,0.48,0.22,14.87
"203","FW",11,2014-11-19,"PW",18,4.63,2.512,7.004,"FW-P-11",108,738,17.4,NA,7.28,0.898,NA,NA,113,1.5,NA,"treatment",3.28,0.004,0.268,0.12,8.3
"204","FW",11,2014-11-19,"SW",17.73,3.464,1.83,7.49,"FW-S-11",151,909,8.9,NA,7.8,0.057,NA,NA,134,0.679,NA,"treatment",1.83,0,0.388,0,12.02
"205","FW",11,2014-12-18,"PW",28.5,3.4704,1.836,6.612,"FW-P-11",179,1159,20,NA,7.89,0.561,NA,NA,145,1.21,NA,"treatment",2.2,0.031,0.244,0.96,7.56
"206","FW",11,2014-12-18,"SW",19.2,1.71,0.87,NA,"FW-S-11",180,143,9.5,NA,8.05,0.185,NA,NA,11.4,0.773,NA,"treatment",0.87,0.028,0.401,0.87,12.42
"207","FW",11,2015-01-15,"PW",29.348,3.2228,1.678,6.794,"FW-P-11",186,1053,16.8,NA,7.79,0.451,NA,NA,152,0.938,NA,"treatment",1.98,0.045,0.238,1.39,7.37
"208","FW",11,2015-01-15,"SW",20.55,0.853,0.42,NA,"FW-S-11",197,136,10.2,NA,7.86,0.087,0.012,NA,9.2,0.704,NA,"treatment",0.42,0.039,0.377,1.21,11.68
"209","FW",11,2015-02-12,"PW",25.646,2.0096,1.026,7.048,"FW-P-11",231,391,NA,NA,8.1,NA,NA,NA,53,NA,NA,"treatment",1.16,NA,NA,NA,NA
"210","FW",11,2015-02-12,"SW",17.85,3.602,1.91,NA,"FW-S-11",214,781,12.7,NA,7.75,0.162,NA,NA,118,1.01,NA,"treatment",1.91,0.071,0.428,2.2,13.26
"211","FW",11,2015-03-19,"PW",35.2475,5.61075,3.0075,6.785,"FW-P-11",200,1740,30.4,NA,7.52,1.17,NA,NA,250,1.66,NA,"treatment",NA,NA,NA,NA,NA
"212","FW",12,2014-10-15,"PW",31.43,2.65375,1.3675,NA,"FW-P-12",150,1037,39.8,NA,7.12,0.936,0.005,NA,144,1.73,NA,"treatment",2,0.013,0.148,0.4,4.58
"213","FW",12,2014-11-19,"PW",18.69,4.4842,2.476,6.982,"FW-P-12",123,1574,11.6,NA,7.3,0.815,NA,NA,232,1.37,NA,"treatment",2.91,0.005,0.165,0.15,5.11
"214","FW",12,2014-11-19,"SW",18.26,1.585,0.8,7.44,"FW-S-12",142,378,8.8,NA,7.78,0.05,NA,NA,49.5,0.674,NA,"treatment",0.8,0,0.381,0,11.8
"215","FW",12,2014-12-18,"PW",25.072,3.6922,1.95,6.642,"FW-P-12",196,1174,16.9,NA,7.87,0.505,NA,NA,168,1.09,NA,"treatment",2.41,0.024,0.248,0.74,7.68
"216","FW",12,2014-12-18,"SW",18.64,0.6,0.29,NA,"FW-S-12",180,73.5,8.5,NA,8.03,0.129,NA,NA,2.1,0.764,NA,"treatment",0.29,0.027,0.51,0.84,15.79
"217","FW",12,2015-01-15,"PW",27.082,2.4808,1.276,6.756,"FW-P-12",234,791,12,NA,7.38,0.648,NA,NA,101,1.06,NA,"treatment",1.57,0,0.207,0,6.41
"218","FW",12,2015-01-15,"SW",20.47,0.939,0.46,NA,"FW-S-12",198,168,11.1,NA,7.82,0.075,0.007,NA,15.2,0.676,NA,"treatment",0.46,0.048,0.385,1.49,11.92
"219","FW",12,2015-02-12,"PW",23.838,2.7438,1.43,6.952,"FW-P-12",223,832,15.8,NA,7.82,0.75,NA,NA,129,1.32,NA,"treatment",1.92,0.058,0.192,1.8,5.95
"220","FW",12,2015-02-12,"SW",17.82,2.037,1.04,NA,"FW-S-12",207,207,12.7,NA,7.88,0.178,NA,NA,35.1,1.02,NA,"treatment",1.04,0.099,0.409,3.07,12.67
"221","FW",12,2015-03-19,"PW",32.684,3.8344,2.028,6.806,"FW-P-12",258,1294,14.7,NA,7.44,0.648,NA,NA,208,1.15,NA,"treatment",NA,NA,NA,NA,NA
"222","FW",13,2014-10-15,"PW",31.51375,3.092375,1.563,NA,"FW-P-13",109,1056,49.7,NA,7.09,0.9,0.005,NA,123,1.69,NA,"treatment",1.97,0.026,0.235,0.81,7.28
"223","FW",13,2014-11-19,"PW",18.51,4.18825,2.2375,6.9625,"FW-P-13",2,1291,12.9,NA,3.8,0.693,NA,NA,154,1.23,NA,"treatment",2.17,0,0.24,0,7.43
"224","FW",13,2014-11-19,"SW",18.24,0.702,0.34,7.7,"FW-S-13",146,118,8.6,NA,7.89,0.05,NA,NA,8.8,0.733,NA,"treatment",0.34,0.004,0.318,0.12,9.85
"225","FW",13,2014-12-18,"PW",26.5325,3.01025,1.5,6.6625,"FW-P-13",202,823,16.3,NA,7.64,0.408,NA,NA,111,1.06,NA,"treatment",1.51,0.016,0.311,0.5,9.63
"226","FW",13,2014-12-18,"SW",18.36,0.61,0.3,NA,"FW-S-13",183,64.2,9.1,NA,8.06,0.131,NA,NA,0.9,0.7,NA,"treatment",0.3,0.012,0.434,0.37,13.44
"227","FW",13,2015-01-15,"PW",24.614,3.8922,2.06,6.594,"FW-P-13",212,1142,14.4,NA,7.4,0.53,NA,NA,157,0.962,NA,"treatment",2.27,0.009,0.227,0.28,7.03
"228","FW",13,2015-01-15,"SW",20.49,1.417,0.71,NA,"FW-S-13",197,361,11.6,NA,7.88,0.075,0.008,NA,36.7,0.7,NA,"treatment",0.71,0.052,0.405,1.61,12.54
"229","FW",13,2015-02-12,"PW",25.042,8.4874,1.342,6.838,"FW-P-13",237,733,15.4,NA,7.67,0.58,NA,NA,110,1.14,NA,"treatment",1.7,0.166,0.243,5.14,7.53
"230","FW",13,2015-02-12,"SW",18.12,5.432,2.95,NA,"FW-S-13",234,1326,11.2,NA,7.6,0.29,NA,NA,197,1.17,NA,"treatment",2.95,0.115,0.435,3.56,13.47
"231","FW",13,2015-03-19,"PW",29.142,5.0587,2.712,6.666,"FW-P-13",226,1928,23.8,NA,7.48,0.653,NA,NA,256,1.11,NA,"treatment",NA,NA,NA,NA,NA
"232","FW",14,2014-10-15,"PW",31.74375,2.929,1.52125,NA,"FW-P-14",170,1268,54.6,NA,7.24,1.398,0.005,NA,162,2.44,NA,"treatment",2.23,0.02,0.187,0.62,5.79
"233","FW",14,2014-11-19,"PW",19.405,4.99125,2.6975,7.0175,"FW-P-14",116,1298,14.1,NA,7.11,1.143,NA,NA,175,1.73,NA,"treatment",2.76,0.004,0.187,0.12,5.79
"234","FW",14,2014-11-19,"SW",17.87,2.551,1.32,7.65,"FW-S-14",133,702,8.9,NA,7.66,0.038,NA,NA,95,0.677,NA,"treatment",1.32,0.004,0.427,0.12,13.22
"235","FW",14,2014-12-18,"PW",28.68,4.9202,2.636,6.666,"FW-P-14",216,1833,23.3,NA,7.65,1.022,NA,NA,271,1.66,NA,"treatment",3.25,0.022,0.16,0.68,4.96
"236","FW",14,2014-12-18,"SW",19.4,4.35,2.33,NA,"FW-S-14",179,171,8.3,NA,8.07,0.062,NA,NA,20.6,0.687,NA,"treatment",2.33,0.032,0.402,0.99,12.45
"237","FW",14,2015-01-15,"PW",27.032,2.9102,1.516,6.836,"FW-P-14",256,863,15.3,NA,7.5,0.719,NA,NA,124,1.24,NA,"treatment",1.95,0.036,0.374,1.11,11.58
"238","FW",14,2015-01-15,"SW",20.4,1.551,0.78,NA,"FW-S-14",197,325,11.3,NA,7.97,0.095,0.008,NA,30.8,0.704,NA,"treatment",0.78,0.064,0.394,1.98,12.2
"239","FW",14,2015-02-12,"PW",26.164,3.2054,1.684,6.928,"FW-P-14",264,1060,10.7,NA,7.63,0.74,NA,NA,148,1.28,NA,"treatment",2.25,0.069,0.212,2.14,6.57
"240","FW",14,2015-02-12,"SW",18.19,5.352,2.9,NA,"FW-S-14",223,1081,12.9,NA,7.73,0.306,NA,NA,159,1.14,NA,"treatment",2.9,0.103,0.457,3.19,14.15
"241","FW",14,2015-03-19,"PW",28.374,4.5372,2.426,6.846,"FW-P-14",267,1579,17.8,NA,7.54,1.043,NA,NA,194,1.54,NA,"treatment",NA,NA,NA,NA,NA
"242","FW",15,2014-10-15,"PW",31.77375,2.91725,1.52125,NA,"FW-P-15",118,1262,50.3,NA,7.1,1.402,0.005,NA,151,2.09,NA,"treatment",2.47,0.01,0.29,0.31,8.98
"243","FW",15,2014-11-19,"PW",18.336,3.3316,1.768,6.866,"FW-P-15",165,1037,13.7,NA,7.09,1.193,NA,NA,149,1.79,NA,"treatment",2.3,0.008,0.207,0.25,6.41
"244","FW",15,2014-11-19,"SW",17.92,3.516,1.86,7.58,"FW-S-15",154,987,8.4,NA,7.92,0.067,NA,NA,136,0.689,NA,"treatment",1.86,0.032,0.439,0.99,13.6
"245","FW",15,2014-11-19,"SW",17.92,3.516,1.86,7.58,"FW-S-15",154,987,8.4,NA,7.92,0.067,NA,NA,136,0.689,NA,"treatment",1.86,0.002,0.274,0.06,8.49
"246","FW",15,2014-12-18,"PW",27.68,2.795,1.45,6.574,"FW-P-15",196,835,14.1,NA,7.65,0.781,NA,NA,112,1.41,NA,"treatment",1.8,0.025,0.282,0.77,8.73
"247","FW",15,2014-12-18,"SW",19.74,2.86,1.49,NA,"FW-S-15",179,208,8.9,NA,8.08,0.079,NA,NA,28,0.811,NA,"treatment",1.49,0.038,0.555,1.18,17.19
"248","FW",15,2014-12-18,"SW",19.74,2.86,1.49,NA,"FW-S-15",179,208,8.9,NA,8.08,0.079,NA,NA,28,0.811,NA,"treatment",1.49,0.021,0.518,0.65,16.04
"249","FW",15,2015-01-15,"PW",23.794,2.9706,1.558,6.598,"FW-P-15",207,977,23.6,NA,7.41,0.86,NA,NA,120,1.41,NA,"treatment",1.98,0.012,0.265,0.37,8.21
"250","FW",15,2015-01-15,"SW",20.08,0.947,0.47,NA,"FW-S-15",194,165,12.5,NA,7.97,0.092,0.007,NA,13.2,0.694,NA,"treatment",0.47,0.072,0.389,2.23,12.05
"251","FW",15,2015-02-12,"PW",23.074,2.1162,1.088,6.822,"FW-P-15",226,665,13.1,NA,7.65,0.604,NA,NA,93.7,1.26,NA,"treatment",1.38,0.1,0.2,3.1,6.19
"252","FW",15,2015-02-12,"SW",18.1,2.443,1.27,NA,"FW-S-15",212,529,10.8,NA,7.95,0.087,NA,NA,84.3,1.01,NA,"treatment",1.27,0.075,0.462,2.32,14.31
"253","FW",15,2015-03-19,"PW",31.154,3.7022,1.968,6.67,"FW-P-15",225,1192,18,NA,7.53,1.045,NA,NA,166,1.47,NA,"treatment",NA,NA,NA,NA,NA
"254","FW",16,2014-10-15,"PW",30.8975,3.473875,1.81,NA,"FW-P-16",131,1426,57.6,NA,6.97,1.215,0.005,NA,170,2.8,NA,"treatment",2.45,0.069,0.488,2.14,15.11
"255","FW",16,2014-11-19,"PW",18.485,4.66525,2.5,6.95,"FW-P-16",169,1384,12.3,NA,7.28,0.902,NA,NA,198,1.42,NA,"treatment",2.54,0,0.213,0,6.6
"256","FW",16,2014-11-19,"SW",17.8,2.882,1.51,7.58,"FW-S-16",135,807,8.9,NA,7.55,0.059,NA,NA,107,0.72,NA,"treatment",1.51,0,0.391,0,12.11
"257","FW",16,2014-12-18,"PW",27.6025,5.1005,2.7325,6.6225,"FW-P-16",200,1442,23.4,NA,7.65,0.767,NA,NA,196,1.31,NA,"treatment",2.89,0.023,0.159,0.71,4.92
"258","FW",16,2014-12-18,"SW",19.29,2.66,1.38,NA,"FW-S-16",178,252,11.4,NA,8.09,0.149,NA,NA,31.1,0.731,NA,"treatment",1.38,0.02,0.499,0.62,15.45
"259","FW",16,2015-01-15,"PW",22.978,3.3438,1.756,6.764,"FW-P-16",231,1002,27.6,NA,7.55,0.593,NA,NA,128,1.14,NA,"treatment",2,0.01,0.279,0.31,8.64
"260","FW",16,2015-01-15,"SW",20.14,1.128,0.56,NA,"FW-S-16",195,241,9.6,NA,8.07,0.027,0.005,NA,20.4,0.661,NA,"treatment",0.56,0.057,0.432,1.77,13.38
"261","FW",16,2015-01-15,"SW",20.14,1.128,0.56,NA,"FW-S-16",195,241,9.6,NA,8.07,0.027,0.005,NA,20.4,0.661,NA,"treatment",0.56,0.058,0.515,1.8,15.95
"262","FW",16,2015-02-12,"PW",24.558,3.2516,1.696,6.918,"FW-P-16",248,860,15,NA,7.67,0.527,NA,NA,130,1.1,NA,"treatment",2.11,0.106,0.242,3.28,7.49
"263","FW",16,2015-02-12,"SW",18.12,4.812,2.59,NA,"FW-S-16",242,1131,11,NA,7.69,0.35,NA,NA,167,1.23,NA,"treatment",2.59,0.095,0.469,2.94,14.52
"264","FW",16,2015-02-12,"SW",18.12,4.812,2.59,NA,"FW-S-16",242,1131,11,NA,7.69,0.35,NA,NA,167,1.23,NA,"treatment",2.59,0.088,0.495,2.73,15.33
"265","FW",16,2015-03-19,"PW",27.846,4.3506,2.322,6.73,"FW-P-16",267,1636,28.7,NA,7.74,1.304,NA,NA,222,1.75,NA,"treatment",NA,NA,NA,NA,NA
