Report Date:,4/24/15 9:21,,,,
10/31/14 5:00,53100,847.525,25.12,0.909,
10/31/14 5:15,54000,847.581,25.12,0.909,
10/31/14 5:30,54900,847.625,25.121,0.909,
10/31/14 5:45,55800,847.77,25.12,0.909,
10/31/14 6:00,56700,847.937,25.121,0.909,
10/31/14 6:15,57600,847.85,25.121,0.909,
10/31/14 6:30,58500,847.871,25.121,0.909,
10/31/14 6:45,59400,847.993,25.121,0.909,
10/31/14 7:00,60300,847.937,25.121,0.909,
10/31/14 7:15,61200,848.204,25.121,0.908,
10/31/14 7:30,62100,848.104,25.121,0.908,
10/31/14 7:45,63000,848.382,25.121,0.908,
10/31/14 8:00,63900,848.282,25.121,0.908,
10/31/14 8:15,64800,848.493,25.121,0.908,
10/31/14 8:30,65700,848.613,25.121,0.908,
10/31/14 8:45,66600,848.516,25.121,0.908,
10/31/14 9:00,67500,848.738,25.121,0.907,
10/31/14 9:15,68400,848.749,25.121,0.907,
10/31/14 9:30,69300,848.816,25.12,0.907,
10/31/14 9:45,70200,849.005,25.12,0.907,
10/31/14 10:00,71100,848.905,25.12,0.907,
10/31/14 10:15,72000,849.083,25.12,0.907,
10/31/14 10:30,72900,849.061,25.119,0.907,
10/31/14 10:45,73800,849.085,25.119,0.907,
10/31/14 11:00,74700,849.194,25.118,0.907,
10/31/14 11:15,75600,849.316,25.118,0.907,
10/31/14 11:30,76500,849.361,25.118,0.907,
10/31/14 11:45,77400,849.516,25.117,0.906,
10/31/14 12:00,78300,849.416,25.117,0.906,
10/31/14 12:15,79200,849.405,25.117,0.906,
10/31/14 12:30,80100,849.539,25.116,0.906,
10/31/14 12:45,81000,849.817,25.116,0.906,
10/31/14 13:00,81900,849.694,25.116,0.906,
10/31/14 13:15,82800,850.062,25.116,0.906,
10/31/14 13:30,83700,850.017,25.116,0.906,
10/31/14 13:45,84600,850.017,25.115,0.906,
10/31/14 14:00,85500,850.095,25.115,0.905,
10/31/14 14:15,86400,850.262,25.115,0.905,
10/31/14 14:30,87300,850.396,25.115,0.905,
10/31/14 14:45,88200,850.54,25.115,0.905,
10/31/14 15:00,89100,850.562,25.115,0.905,
10/31/14 15:15,90000,850.506,25.115,0.905,
10/31/14 15:30,90900,850.751,25.115,0.905,
10/31/14 15:45,91800,850.718,25.115,0.905,
10/31/14 16:00,92700,850.885,25.115,0.904,
10/31/14 16:15,93600,850.785,25.116,0.904,
10/31/14 16:30,94500,851.018,25.115,0.904,
10/31/14 16:45,95400,850.982,25.115,0.904,
10/31/14 17:00,96300,851.196,25.115,0.904,
10/31/14 17:15,97200,851.163,25.116,0.904,
10/31/14 17:30,98100,851.338,25.116,0.904,
10/31/14 17:45,99000,851.552,25.116,0.903,
10/31/14 18:00,99900,851.563,25.116,0.903,
10/31/14 18:15,100800,851.674,25.116,0.903,
10/31/14 18:30,101700,851.452,25.117,0.904,
10/31/14 18:45,102600,851.619,25.117,0.903,
10/31/14 19:00,103500,851.574,25.117,0.903,
10/31/14 19:15,104400,851.832,25.117,0.903,
10/31/14 19:30,105300,851.608,25.117,0.903,
10/31/14 19:45,106200,851.474,25.117,0.904,
10/31/14 20:00,107100,851.719,25.117,0.903,
10/31/14 20:15,108000,851.766,25.118,0.903,
10/31/14 20:30,108900,851.819,25.118,0.903,
10/31/14 20:45,109800,851.627,25.118,0.903,
10/31/14 21:00,110700,851.875,25.118,0.903,
10/31/14 21:15,111600,851.753,25.119,0.903,
10/31/14 21:30,112500,851.866,25.118,0.903,
10/31/14 21:45,113400,851.83,25.118,0.903,
10/31/14 22:00,114300,851.841,25.118,0.903,
10/31/14 22:15,115200,851.908,25.118,0.903,
10/31/14 22:30,116100,851.986,25.119,0.903,
10/31/14 22:45,117000,852.055,25.119,0.903,
10/31/14 23:00,117900,852.1,25.12,0.903,
10/31/14 23:15,118800,852.164,25.12,0.903,
10/31/14 23:30,119700,852.086,25.12,0.903,
10/31/14 23:45,120600,852.13,25.119,0.903,
11/1/14 0:00,121500,852.086,25.12,0.903,
11/1/14 0:15,122400,852.208,25.119,0.902,
11/1/14 0:30,123300,852.175,25.119,0.902,
11/1/14 0:45,124200,852.108,25.119,0.903,
11/1/14 1:00,125100,852.175,25.12,0.902,
11/1/14 1:15,126000,852.197,25.12,0.902,
11/1/14 1:30,126900,852.041,25.12,0.903,
11/1/14 1:45,127800,852.309,25.12,0.902,
11/1/14 2:00,128700,852.342,25.12,0.902,
11/1/14 2:15,129600,852.342,25.12,0.902,
11/1/14 2:30,130500,852.331,25.12,0.902,
11/1/14 2:45,131400,852.309,25.119,0.902,
11/1/14 3:00,132300,852.531,25.119,0.902,
11/1/14 3:15,133200,852.319,25.12,0.902,
11/1/14 3:30,134100,852.498,25.12,0.902,
11/1/14 3:45,135000,852.52,25.12,0.902,
11/1/14 4:00,135900,852.442,25.12,0.902,
11/1/14 4:15,136800,852.575,25.12,0.902,
11/1/14 4:30,137700,852.509,25.12,0.902,
11/1/14 4:45,138600,852.22,25.12,0.902,
11/1/14 5:00,139500,852.42,25.12,0.902,
11/1/14 5:15,140400,852.542,25.119,0.902,
11/1/14 5:30,141300,852.575,25.119,0.902,
11/1/14 5:45,142200,852.52,25.118,0.902,
11/1/14 6:00,143100,852.698,25.118,0.902,
11/1/14 6:15,144000,852.698,25.117,0.902,
11/1/14 6:30,144900,852.542,25.117,0.902,
11/1/14 6:45,145800,852.653,25.116,0.902,
11/1/14 7:00,146700,852.631,25.116,0.902,
11/1/14 7:15,147600,852.575,25.116,0.902,
